iter	MultiClass
0	1.871575539
1	1.817777683
2	1.782315114
3	1.75602325
4	1.721577229
5	1.69821182
6	1.682558055
7	1.667586157
8	1.653517141
9	1.643148829
10	1.629303392
11	1.614931514
12	1.606523572
13	1.597617581
14	1.588189756
15	1.577636989
16	1.569015433
17	1.565577469
18	1.560526458
19	1.553075214
20	1.547579989
21	1.540271955
22	1.533834542
23	1.529421346
24	1.52532511
25	1.519153098
26	1.513345065
27	1.509612333
28	1.505388911
29	1.500139627
30	1.496149015
31	1.492459016
32	1.489209348
33	1.486413777
34	1.481217866
35	1.477861341
36	1.474111473
37	1.468747219
38	1.463225044
39	1.459681328
40	1.454863695
41	1.450700826
42	1.444276064
43	1.440974232
44	1.436868106
45	1.433222312
46	1.429381859
47	1.423950361
48	1.419615609
49	1.416427442
50	1.412823852
51	1.409897365
52	1.407046341
53	1.404162851
54	1.401505537
55	1.396629798
56	1.393365459
57	1.390520657
58	1.388272973
59	1.385805624
60	1.382928608
61	1.379200161
62	1.375629915
63	1.372550184
64	1.369503223
65	1.365063641
66	1.362432723
67	1.358785448
68	1.35574944
69	1.352157224
70	1.34904615
71	1.344888496
72	1.340484737
73	1.33512258
74	1.332936596
75	1.329166845
76	1.325947594
77	1.320800584
78	1.318723199
79	1.315267579
80	1.311384172
81	1.307379329
82	1.303860017
83	1.300356477
84	1.297258853
85	1.293366928
86	1.290882028
87	1.287976682
88	1.283848039
89	1.280715946
90	1.278434179
91	1.274992794
92	1.2712971
93	1.268349121
94	1.266521809
95	1.26281459
96	1.260328953
97	1.257584121
98	1.255508267
99	1.251379494
