iter	Passed	Remaining
0	84	8372
1	106	5225
2	128	4145
3	150	3615
4	173	3292
5	199	3121
6	219	2920
7	240	2769
8	265	2683
9	310	2790
10	333	2694
11	355	2603
12	377	2528
13	404	2482
14	432	2452
15	465	2443
16	493	2410
17	515	2348
18	575	2452
19	629	2519
20	662	2493
21	684	2427
22	706	2366
23	728	2306
24	752	2257
25	778	2214
26	800	2164
27	821	2112
28	844	2067
29	867	2024
30	889	1978
31	916	1946
32	938	1905
33	959	1863
34	982	1824
35	1004	1786
36	1025	1745
37	1047	1708
38	1069	1672
39	1090	1636
40	1111	1599
41	1133	1565
42	1156	1532
43	1178	1499
44	1199	1466
45	1223	1436
46	1244	1403
47	1267	1373
48	1289	1342
49	1311	1311
50	1333	1280
51	1358	1254
52	1379	1223
53	1403	1195
54	1424	1165
55	1449	1139
56	1470	1109
57	1492	1080
58	1514	1052
59	1538	1025
60	1558	996
61	1579	968
62	1602	940
63	1622	912
64	1655	891
65	1678	864
66	1699	837
67	1722	810
68	1744	783
69	1768	757
70	1792	732
71	1814	705
72	1835	678
73	1868	656
74	1913	637
75	1939	612
76	1960	585
77	1983	559
78	2004	532
79	2026	506
80	2048	480
81	2070	454
82	2091	428
83	2112	402
84	2132	376
85	2154	350
86	2175	325
87	2196	299
88	2219	274
89	2242	249
90	2266	224
91	2288	198
92	2309	173
93	2330	148
94	2352	123
95	2373	98
96	2394	74
97	2416	49
98	2441	24
99	2462	0
